algo,count,Recall,False alarm,Pitch acc,Chroma acc,Voc. recall,threshold
basic,233,0.5352599179738932,0.43533756378161914,0.016906007639722703,0.08540693558161291,0.8969957081545065,0.1292039956355999
crepe,233,0.6694223667945548,0.3082992941164728,0.0753231707359652,0.1158456333655578,0.9742489270386266,0.1898492269477547
pesto_ft,233,0.8736429901516604,0.12058188480243633,0.22836106480690563,0.24770510982657604,1.0,0.2786703980571136
praat,233,0.6349939671064521,0.20705436174939273,0.12373007320016195,0.19670895973453584,0.9570815450643777,0.3869201863800927
pyin,210,0.7573993477521817,0.2413511661840486,0.09134906047307959,0.09675081253588984,0.9952380952380953,0.0100090254933429
tcrepe,233,0.6528313397515272,0.27389374884310963,0.18541655576960658,0.24417348652385748,0.9699570815450643,0.2004482314371764
tcrepe_ftoth,233,0.7893193988280441,0.16116332740190945,0.24700208364349852,0.3421091347221816,0.9914163090128756,0.0355694774723462
tcrepe_ftsp,233,0.8703872271553336,0.09215789671933261,0.29708470360420736,0.31855488967933715,0.9957081545064378,0.0079189846470491
tcrepe_ftspV,233,0.8703872271553336,0.09215789671933261,0.30048613089675535,0.32151868705212905,0.9957081545064378,0.0079189846470491
