algo,count,Recall,False alarm,Pitch acc,Chroma acc,Voc. recall,threshold
basic,340,0.5092753186164871,0.5094715188040108,0.028387894312585746,0.08198807970805101,0.6205882352941177,0.0790845625372482
crepe,340,0.6583254889686391,0.3097389266469146,0.24569626948374335,0.30555741020461463,0.9323529411764706,0.4266818583011597
pesto,340,0.8852228065683617,0.1259278774313499,0.14455865851891864,0.43133696142309075,1.0,0.408248844153355
pesto_ft,340,0.8243309119994746,0.20703368703536978,0.06271754530566274,0.1260884029379388,0.9941176470588236,0.3476205608794456
praat,340,0.8373610535949871,0.14840896579321547,0.5397602503536328,0.5863001482426823,0.9852941176470589,0.5116651985328431
pyin,302,0.8869326367606483,0.1395948705238437,0.43752622855756335,0.46145517339064396,1.0,0.0102590505597788
tcrepe,340,0.6646600458249139,0.3030444853653684,0.4777681452363384,0.589994331997124,0.9352941176470588,0.4308181405067444
tcrepe_ftoth,340,0.7316936490957437,0.23541283435628624,0.7036141962635267,0.7347206639977486,0.9147058823529411,0.0820454642176628
tcrepe_ftsp,340,0.8932451359833586,0.09272602461799288,0.732029353938832,0.7524084819679124,0.9794117647058823,2.427486151646008e-06
tcrepe_ftspV,340,0.8932451359833586,0.09272602461799288,0.7296994173793597,0.7469601502498399,0.9794117647058823,2.427486151646008e-06
