algo,count,Recall,False alarm,Pitch acc,Chroma acc,Voc. recall,threshold
basic,13680,0.5078611886313824,0.5002421589400426,0.015781610637485014,0.07857915836026633,0.6941520467836257,0.1064747843469943
pesto,13680,0.7641263329633888,0.2505111166856928,0.07132728679509469,0.3877519610743127,0.9113304093567252,0.4101091164447576
pesto_ft,13680,0.8009449975791,0.2196435043854653,0.021276457444773945,0.5184379119670417,0.9536549707602339,0.4545291618240671
praat,13680,0.6884797373172128,0.28999121935690647,0.5367664245591841,0.6159795414457548,0.820906432748538,0.8031442461784801
pyin,12947,0.7421505494274864,0.3091740776934084,0.42842259377194564,0.47824423333099575,0.8739476326562138,0.0203176285563605
tcrepe,13680,0.6878614198595807,0.3240158498495314,0.5327052967468091,0.6032881313025624,0.8338450292397661,0.3509200780795074
tcrepe_ftoth,13680,0.689424060545676,0.3157951351160881,0.5711931695796063,0.6375043121258378,0.8532163742690059,0.0946303319693476
tcrepe_ftsp,13680,0.690318774125364,0.29715906525227404,0.6297206250096538,0.652418978915077,0.8494883040935672,0.034155023578988
tcrepe_ftspV,13680,0.690318774125364,0.29715906525227404,0.6270252225323947,0.6490632197099903,0.8494883040935672,0.034155023578988
