algo,count,Recall,False alarm,Pitch acc,Chroma acc,Voc. recall,threshold
basic,1548,0.5492451566098706,0.18395555946600003,0.2628961053388349,0.3135360076940544,0.7952196382428941,0.2018579880278612
crepe,1548,0.7238319182925657,0.2782858422768744,0.2091981239426912,0.25047586230491065,0.9392764857881137,0.212248872966041
pesto,1151,0.6852824517200835,0.10829683543570669,0.3285400648414561,0.42575292411520244,0.9026933101650738,0.4984438717359644
pesto_ft,1514,0.6719088414186731,0.10264368692673044,0.03830011001553956,0.08494865764966247,0.9068692206076618,0.4759690053696843
praat,1548,0.6017326718865038,0.33351775172432163,0.15273100404740364,0.23057825833691142,0.7603359173126615,0.703390458967297
pyin,1412,0.633550314480709,0.32529250445812563,0.16152351610916532,0.21187080430226007,0.8371104815864022,0.0101400918132315
tcrepe,1548,0.7291464791358281,0.26340282495463574,0.4139613724549249,0.4855855381341373,0.9373385012919897,0.2193743506093421
tcrepe_ftoth,1548,0.7372815994859802,0.3053374423543101,0.4320054785393906,0.47721557201615855,0.9328165374677002,0.0243973780026846
tcrepe_ftsp,1548,0.8358595964197917,0.2569822462046576,0.5058750729243063,0.5226332281383478,0.9631782945736435,0.0001003528260489
tcrepe_ftspV,1548,0.8358595964197917,0.2569822462046576,0.5054355048074859,0.5223950705377248,0.9631782945736435,0.0001003528260489
